ID,en,es
START_BUTTON,Start,Iniciar juego
SETTINGS_BUTTON,Settings,Preferencias
ABOUT_BUTTON,About,Acerca de
GAME_OVER,Game Over!,¡Fin del juego!
LANG,Language,Idioma
GO_BACK,Back,Atras
HIGH_SCORE,High score: ,Mayor puntuación: 
DESCRIPTION,Game made with Godot 4 and Git.\n\nCollect as much corn as you can before you die.,Juego hecho con Godot 4 y Git.\n\nRecoge todo el maíz que puedas antes de morir.
PROFILE,Profile: ,Perfil: 
DEV_TAB,Developer,Desarrollador
DESC_TAB,Description,Descripción
LICENCE_TAB,Licence,Licencia
CREATOR,Creator: Joaquin Hourcade,Creador: Joaquin Hourcade
RELEASE,Release date: may/2024,Fecha de lanzamiento: mayo/2024
VERSION,Version: 1.1.0 (PC),Versión: 1.1.0 (PC)
GIT_PROFILE,Github profile,Perfil de Github
